path	reason
/home/lvfang/ESMC_halophile/ESMCHalo_v2_optimization/ESMCHalo_V2_09_semantic_audit_v1/V2_09_stageA_output [current_output]	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/ESMCHalo_v2_optimization/V2_07_blind_evaluation	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/M4P_public_challenge_data	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/results/module3_external/module3G_blind_external	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/01_blinded_curation	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/04_blind_inference	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/M4P_public_challenge_data	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/results/module3_external/module3G_blind_external	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/01_blinded_curation	forbidden_path_token; directory_not_traversed
/home/lvfang/ESMC_halophile/v2_07_execution_package	forbidden_path_token; directory_not_traversed
