clean_id	label	homology_group	oof_fold	p_esmc_v1	p_deepsaltpro	p_aac_catboost	mean_label_support	mixed_label_homology_group	audit_reasons
HPCLAS_TRAIN_N_004259	0	HPCLAS_TRAIN_N_004259	0	1.0	0.970805823802948	0.9907047087196348	0.0128298224924724	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_000594	1	HPCLAS_TRAIN_P_000594	3	0.0006906757480464	0.0448366180062294	0.018611508524528	0.0213796007596012	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003215	0	HPCLAS_TRAIN_N_003215	4	1.0	0.932934045791626	0.996049594743144	0.0236721198217433	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_001317	0	HPCLAS_TRAIN_N_001317	4	0.9999997615814208	0.9280926585197448	0.9975916378102824	0.024771980696184	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000395	0	HPCLAS_TRAIN_N_000395	0	0.9996854066848756	0.93739914894104	0.9815195197410972	0.0271319748776623	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003810	0	HPCLAS_TRAIN_N_003810	1	0.998802900314331	0.9237325191497804	0.9937454710697912	0.0279063698220324	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003885	0	HPCLAS_TRAIN_P_001597	1	0.9999984502792358	0.9123345613479614	0.994204189380558	0.0311542663307482	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_003299	1	HPCLAS_TRAIN_P_003299	0	0.0012762654805555	0.0999561846256256	0.0359848385615351	0.045739096222572	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003203	0	HPCLAS_TRAIN_N_003203	1	0.999236822128296	0.8655084371566772	0.9905789027686503	0.0482252793154588	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_006121	1	HPCLAS_TRAIN_P_006121	1	0.0001004004443529	0.072674922645092	0.077208332289825	0.0499945517930899	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_002480	1	HPCLAS_TRAIN_P_002480	0	0.0182949043810367	0.1363095343112945	0.003797444995619	0.0528006278959833	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
