epoch	train_loss	train_accuracy	learning_rate
1	0.1460011034044132	0.7810503903477644	3.999022989524149e-05
2	0.1001097535472588	0.8938963804116394	3.9960929222879784e-05
3	0.0699957396992843	0.9170806718713035	3.991212689914099e-05
4	0.05322332944794132	0.9318665720369056	3.984387108602667e-05
5	0.042845821727674455	0.9441684409746866	3.975622914378374e-05
6	0.03574337366946801	0.9551691506978945	3.9649287564428046e-05
7	0.029910974704242074	0.9634492547906317	3.95231518863872e-05
8	0.025288720598903944	0.9700733380648214	3.93779465903469e-05
9	0.021646554458988616	0.9745682517151644	3.921381497640348e-05
10	0.017565858225827947	0.9836763662171752	3.903091902264405e-05
11	0.01550933488131077	0.9840312278211497	3.882943922529367e-05
12	0.013076842263048356	0.9881712798675183	3.8609574420587386e-05
13	0.010795693050498005	0.9923113319138869	3.8371541588542834e-05
14	0.009153662501720424	0.9956233735509817	3.81155756388272e-05
