fold	epoch	train_loss	train_accuracy	validation_mcc_at_0_5	learning_rate
2	1	0.15859808874807146	0.7531545741324921	0.7144822077758441	4e-05
2	2	0.12395815431883658	0.8856466876971609	0.7644307708494584	3.999022989524149e-05
2	3	0.09190716702573307	0.9045741324921136	0.8028925435990849	3.9960929222879784e-05
2	4	0.06856606003331837	0.9247634069400631	0.8071133269741797	3.991212689914099e-05
2	5	0.053143067533379475	0.9373817034700316	0.8143286142070921	3.984387108602667e-05
2	6	0.04290573927882342	0.9496845425867508	0.8224244719870489	3.975622914378374e-05
2	7	0.036114348186773455	0.9570977917981073	0.8279333009732336	3.9649287564428046e-05
2	8	0.03065339082305552	0.964826498422713	0.8258963762646166	3.95231518863872e-05
2	9	0.02540747145666779	0.9733438485804417	0.8245747503282815	3.93779465903469e-05
2	10	0.020644706474728765	0.9799684542586751	0.8188229306226161	3.921381497640348e-05
2	11	0.018731201797347715	0.9828075709779179	0.8189307891701587	3.903091902264405e-05
2	12	0.01520524182436218	0.9878548895899054	0.8188229306226161	3.882943922529367e-05
2	13	0.011962494770012067	0.9919558359621451	0.8223300207103088	3.8609574420587386e-05
2	14	0.010121688741473745	0.9952681388012619	0.818517520047892	3.8371541588542834e-05
2	15	0.009085130242025627	0.9954258675078864	0.8212165352220652	3.81155756388272e-05
2	16	0.007601145268873274	0.9971608832807571	0.8254765668547266	3.784192917892969e-05
2	17	0.006131681740248711	0.9981072555205047	0.8213067219709164	3.755087226486851e-05
2	18	0.005301882020471036	0.998422712933754	0.8239396180188246	3.7242692134678096e-05
2	19	0.004662981697825321	0.9987381703470032	0.8239396180188246	3.691769292493991e-05
2	20	0.003854612851873839	0.9996845425867508	0.8213999665809433	3.657619537063634e-05
2	21	0.0037010693364432933	0.9993690851735015	0.823055151647793	3.621853648862398e-05
2	22	0.0032268777194400596	0.9995268138801262	0.8221503010036763	3.5845069245038685e-05
2	23	0.002805960758321857	0.9993690851735015	0.8208817801932518	3.5456162206960646e-05
2	24	0.002614900229531061	0.9996845425867508	0.8215956093107362	3.505219917868312e-05
2	25	0.0024980301625750463	0.9996845425867508	0.8218034244005641	3.463357882294397e-05
2	26	0.0021459914646214254	0.9998422712933754	0.8219118848835828	3.420071426749366e-05
2	27	0.0019296050314829693	0.9998422712933754	0.8218034244005641	3.375403269738806e-05
2	28	0.0018016477802926998	0.9996845425867508	0.8256018142916722	3.329397493340833e-05
2	29	0.001750000715343875	0.9996845425867508	0.8182388876210446	3.2820994997024085e-05
2	30	0.0016185420220835305	0.9996845425867508	0.8231716277207018	3.233555966232897e-05
2	31	0.0015380359857052283	0.9996845425867508	0.8230017772115567	3.1838147995391e-05
2	32	0.0014084831834991084	0.9998422712933754	0.8266174480037932	3.132925088147222e-05
