clean_id	fold	homology_group	label	embedding_row	teacher_logit	strict25	clean_core
HPCLAS_TRAIN_N_000001	4	HPCLAS_TRAIN_N_000001	0	7397	-0.7683322104944428	True	True
HPCLAS_TRAIN_N_000002	4	HPCLAS_TRAIN_N_000002	0	7398	2.003015763842648	True	False
HPCLAS_TRAIN_N_000003	2	HPCLAS_TRAIN_N_000003	0	7399	-3.5027927601262965	True	True
HPCLAS_TRAIN_N_000004	2	HPCLAS_TRAIN_N_000004	0	7400	-3.0823769666329928	False	True
HPCLAS_TRAIN_N_000005	3	HPCLAS_TRAIN_N_000005	0	7401	-0.9633590292771032	True	True
HPCLAS_TRAIN_N_000006	2	HPCLAS_TRAIN_N_000006	0	7402	-0.2025646654486284	True	False
HPCLAS_TRAIN_N_000007	2	HPCLAS_TRAIN_N_000007	0	7403	-2.581399457916582	True	True
HPCLAS_TRAIN_N_000009	3	HPCLAS_TRAIN_N_000009	0	7405	-1.5675697387492986	True	True
HPCLAS_TRAIN_N_000010	2	HPCLAS_TRAIN_N_000010	0	7406	-3.165329507749276	True	True
HPCLAS_TRAIN_N_000012	1	HPCLAS_TRAIN_N_000012	0	7408	-3.265044906623668	True	True
HPCLAS_TRAIN_N_000013	1	HPCLAS_TRAIN_N_000013	0	7409	-2.3591361134319166	True	True
HPCLAS_TRAIN_N_000014	4	HPCLAS_TRAIN_N_000014	0	7410	-2.162537814080148	True	True
HPCLAS_TRAIN_N_000015	2	HPCLAS_TRAIN_N_000015	0	7411	-0.7688677212869881	True	False
HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	7412	-2.787128456038448	True	True
HPCLAS_TRAIN_N_000017	1	HPCLAS_TRAIN_N_000017	0	7413	-2.297764052080107	True	True
HPCLAS_TRAIN_N_000018	1	HPCLAS_TRAIN_N_000018	0	7414	-3.99851412394299	True	True
HPCLAS_TRAIN_N_000019	1	HPCLAS_TRAIN_P_002956	0	7415	-3.1853690255796043	True	False
HPCLAS_TRAIN_N_000020	2	HPCLAS_TRAIN_N_000020	0	7416	-2.3982782232987487	True	True
HPCLAS_TRAIN_N_000021	1	HPCLAS_TRAIN_N_000021	0	7417	-0.0313423300827139	True	False
HPCLAS_TRAIN_N_000022	1	HPCLAS_TRAIN_N_000022	0	7418	-2.266001269595605	True	True
HPCLAS_TRAIN_N_000023	2	HPCLAS_TRAIN_N_000023	0	7419	-0.3549560534549026	True	False
HPCLAS_TRAIN_N_000024	2	HPCLAS_TRAIN_N_000024	0	7420	-2.8485699505378084	True	True
HPCLAS_TRAIN_N_000025	2	HPCLAS_TRAIN_N_000025	0	7421	-3.629721319759809	True	True
HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	7422	-2.256240182115824	True	True
HPCLAS_TRAIN_N_000027	2	HPCLAS_TRAIN_N_000027	0	7423	-4.585918900311893	True	True
HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	7424	-0.9460567940931542	True	True
HPCLAS_TRAIN_N_000030	4	HPCLAS_TRAIN_N_000030	0	7426	0.0394488464076143	True	False
HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	7427	-2.432187364290284	True	True
HPCLAS_TRAIN_N_000032	1	HPCLAS_TRAIN_N_000032	0	7428	-2.4923394004989703	True	True
HPCLAS_TRAIN_N_000033	2	HPCLAS_TRAIN_N_000033	0	7429	-2.5931189369394576	True	True
HPCLAS_TRAIN_N_000034	1	HPCLAS_TRAIN_N_000034	0	7430	0.2080760540370933	True	False
HPCLAS_TRAIN_N_000035	3	HPCLAS_TRAIN_N_000035	0	7431	-2.0008683941575565	True	True
HPCLAS_TRAIN_N_000036	1	HPCLAS_TRAIN_N_000036	0	7432	-1.1261845051703323	True	False
HPCLAS_TRAIN_N_000037	1	HPCLAS_TRAIN_N_000037	0	7433	-2.566181678488462	True	True
HPCLAS_TRAIN_N_000038	3	HPCLAS_TRAIN_N_000038	0	7434	-2.188535232905444	True	True
HPCLAS_TRAIN_N_000039	4	HPCLAS_TRAIN_N_000039	0	7435	-1.9812690037424536	True	True
HPCLAS_TRAIN_N_000040	2	HPCLAS_TRAIN_N_000040	0	7436	-2.535767764216514	True	True
HPCLAS_TRAIN_N_000041	4	HPCLAS_TRAIN_N_000041	0	7437	-1.071145639531475	True	True
HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	7438	-2.643034990027592	True	True
HPCLAS_TRAIN_N_000043	4	HPCLAS_TRAIN_N_000043	0	7439	-1.2471546892060577	True	True
HPCLAS_TRAIN_N_000044	4	HPCLAS_TRAIN_N_000044	0	7440	-1.9402125487634951	True	True
HPCLAS_TRAIN_N_000045	3	HPCLAS_TRAIN_N_000045	0	7441	-0.9785345368294104	True	True
HPCLAS_TRAIN_N_000046	4	HPCLAS_TRAIN_N_000046	0	7442	-1.0376700527509364	True	True
HPCLAS_TRAIN_N_000047	3	HPCLAS_TRAIN_N_000047	0	7443	-4.254712143044747	True	True
HPCLAS_TRAIN_N_000048	3	HPCLAS_TRAIN_N_000048	0	7444	-1.029372702853019	True	True
HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	7445	-0.352191351945937	True	False
HPCLAS_TRAIN_N_000051	4	HPCLAS_TRAIN_P_003059	0	7447	-1.911071006562577	True	False
HPCLAS_TRAIN_N_000053	2	HPCLAS_TRAIN_N_000053	0	7448	-4.340431203312614	True	True
HPCLAS_TRAIN_N_000054	0	HPCLAS_TRAIN_N_000054	0	7449	-1.6088508023787984	True	True
HPCLAS_TRAIN_N_000055	1	HPCLAS_TRAIN_N_000055	0	7450	-3.129565241644477	True	True
HPCLAS_TRAIN_N_000056	1	HPCLAS_TRAIN_N_000056	0	7451	-3.333830860610542	True	True
HPCLAS_TRAIN_N_000058	4	HPCLAS_TRAIN_N_000058	0	7453	-1.82901936696156	True	True
HPCLAS_TRAIN_N_000059	2	HPCLAS_TRAIN_N_000059	0	7454	-1.4844575804944833	True	True
HPCLAS_TRAIN_N_000060	4	HPCLAS_TRAIN_N_000060	0	7455	-2.0312688342106853	True	True
HPCLAS_TRAIN_N_000061	0	HPCLAS_TRAIN_N_000061	0	7456	-2.080119590105397	True	True
HPCLAS_TRAIN_N_000062	4	HPCLAS_TRAIN_N_000062	0	7457	-2.123637464034588	True	True
HPCLAS_TRAIN_N_000063	4	HPCLAS_TRAIN_N_000063	0	7458	-1.791765380034473	True	True
HPCLAS_TRAIN_N_000065	2	HPCLAS_TRAIN_N_000065	0	7460	-3.3350632333947616	True	True
HPCLAS_TRAIN_N_000066	3	HPCLAS_TRAIN_N_000066	0	7461	-2.085107793236797	True	True
HPCLAS_TRAIN_N_000067	1	HPCLAS_TRAIN_N_000067	0	7462	-2.90967825293799	True	True
HPCLAS_TRAIN_N_000069	0	HPCLAS_TRAIN_N_000069	0	7464	-0.5243154348252494	True	False
HPCLAS_TRAIN_N_000070	3	HPCLAS_TRAIN_N_000070	0	7465	-3.118226989970421	True	True
HPCLAS_TRAIN_N_000071	2	HPCLAS_TRAIN_N_000071	0	7466	-1.680567550806945	True	True
HPCLAS_TRAIN_N_000072	1	HPCLAS_TRAIN_N_000072	0	7467	-2.6425218016867764	True	True
HPCLAS_TRAIN_N_000073	3	HPCLAS_TRAIN_N_000073	0	7468	-1.8088562862990931	True	True
HPCLAS_TRAIN_N_000075	3	HPCLAS_TRAIN_N_000075	0	7470	-0.2027828984989935	True	False
HPCLAS_TRAIN_N_000076	2	HPCLAS_TRAIN_N_000076	0	7471	-0.2900312433165783	True	False
HPCLAS_TRAIN_N_000078	2	HPCLAS_TRAIN_N_000078	0	7473	-0.8143745369560441	True	False
HPCLAS_TRAIN_N_000079	0	HPCLAS_TRAIN_N_000079	0	7474	-2.1376685370293766	True	True
HPCLAS_TRAIN_N_000080	3	HPCLAS_TRAIN_N_000080	0	7475	-2.7567977210777457	True	True
HPCLAS_TRAIN_N_000082	1	HPCLAS_TRAIN_N_000082	0	7477	-3.0291681694057044	True	True
HPCLAS_TRAIN_N_000083	4	HPCLAS_TRAIN_N_000083	0	7478	-2.036914696407304	True	True
HPCLAS_TRAIN_N_000084	3	HPCLAS_TRAIN_N_000084	0	7479	-2.880376288014455	True	True
HPCLAS_TRAIN_N_000085	3	HPCLAS_TRAIN_N_000085	0	7480	-3.965942627427076	True	True
HPCLAS_TRAIN_N_000086	0	HPCLAS_TRAIN_N_000086	0	7481	-1.7833355333194725	True	True
HPCLAS_TRAIN_N_000088	0	HPCLAS_TRAIN_N_000088	0	7483	1.1076107546810363	True	False
HPCLAS_TRAIN_N_000090	3	HPCLAS_TRAIN_N_000090	0	7485	-3.320755319713064	True	True
HPCLAS_TRAIN_N_000093	2	HPCLAS_TRAIN_N_000093	0	7488	-0.1599314615689579	True	False
HPCLAS_TRAIN_N_000094	4	HPCLAS_TRAIN_N_000094	0	7489	-2.0251923133392005	True	True
HPCLAS_TRAIN_N_000095	2	HPCLAS_TRAIN_N_000095	0	7490	-1.428881286687243	True	False
HPCLAS_TRAIN_N_000096	1	HPCLAS_TRAIN_N_000096	0	7491	-3.107079275037127	True	True
HPCLAS_TRAIN_N_000097	4	HPCLAS_TRAIN_N_000097	0	7492	-1.0427001923060035	True	True
HPCLAS_TRAIN_N_000098	1	HPCLAS_TRAIN_N_000098	0	7493	-3.051751406906931	True	True
HPCLAS_TRAIN_N_000099	3	HPCLAS_TRAIN_N_000099	0	7494	-2.8307809633462093	True	True
HPCLAS_TRAIN_N_000101	0	HPCLAS_TRAIN_N_000101	0	7496	-2.877260472000326	True	False
HPCLAS_TRAIN_N_000102	0	HPCLAS_TRAIN_N_000102	0	7497	-0.3959201263636841	True	False
HPCLAS_TRAIN_N_000103	1	HPCLAS_TRAIN_N_000103	0	7498	-2.430547723159763	True	True
HPCLAS_TRAIN_N_000105	4	HPCLAS_TRAIN_N_000105	0	7500	-2.217771090349392	True	True
