mode	fold	contrast	ACC	MCC	Brier	log_loss	AP	AUROC
crossfit_Platt	0	G0-H0	-0.008041627246925254	-0.01667418680673749	0.003220177657872983	0.010500988904672326	-0.0014119841179608406	-0.0019101665368495002
crossfit_Platt	1	G0-H0	-0.0033112582781457123	-0.0066602131678847876	0.000996405738110058	0.00275337546455795	-0.0002697688620050265	-0.0006472311857870228
crossfit_Platt	2	G0-H0	-0.003312825366777128	-0.006771701694205601	0.0004070053418963049	0.001823733365135194	-0.00018623975842768647	-0.00028778688174557754
crossfit_Platt	3	G0-H0	-0.00047326076668252615	-0.0007754587830844928	-0.0006879256902942651	0.0006403182898311321	0.00013300010955863417	0.00010026123622108862
crossfit_Platt	4	G0-H0	0.004259346900141958	0.008374568975295205	-0.0014964561007602961	-0.0016371386950115863	-0.002038302557629268	-0.0004640026726552282
raw	0	G0-H0	-0.00898770104068114	-0.01865363700300382	0.0013254114317407806	0.0024667003276747923	-0.0014119841179608406	-0.0019101665368495002
raw	1	G0-H0	-0.002365184484389826	-0.004690639843769495	-0.00033615990824911735	-0.002759170081382073	-0.0002697688620050265	-0.0006472311857870228
raw	2	G0-H0	-0.002839564600094713	-0.00570409730502941	-0.0005988610334908065	-0.002382446083208506	-0.00018623975842768647	-0.00028778688174557754
raw	3	G0-H0	-0.0014197823000472454	-0.0026887983423757866	0.00025135764404435323	0.0038917276111085364	0.00013300010955863417	0.00010026123622108862
raw	4	G0-H0	0.003312825366777128	0.006503556656884957	-0.001066412628614545	-0.0018126088267793883	-0.002038302557629268	-0.0004640026726552282
