clean_id	label
HPCLAS_TRAIN_N_000008	0
HPCLAS_TRAIN_N_000011	0
HPCLAS_TRAIN_N_000029	0
HPCLAS_TRAIN_N_000050	0
HPCLAS_TRAIN_N_000057	0
HPCLAS_TRAIN_N_000064	0
HPCLAS_TRAIN_N_000068	0
HPCLAS_TRAIN_N_000074	0
HPCLAS_TRAIN_N_000077	0
HPCLAS_TRAIN_N_000081	0
HPCLAS_TRAIN_N_000087	0
HPCLAS_TRAIN_N_000089	0
HPCLAS_TRAIN_N_000091	0
HPCLAS_TRAIN_N_000092	0
HPCLAS_TRAIN_N_000100	0
HPCLAS_TRAIN_N_000104	0
HPCLAS_TRAIN_N_000106	0
HPCLAS_TRAIN_N_000108	0
HPCLAS_TRAIN_N_000120	0
HPCLAS_TRAIN_N_000121	0
HPCLAS_TRAIN_N_000122	0
HPCLAS_TRAIN_N_000127	0
HPCLAS_TRAIN_N_000137	0
HPCLAS_TRAIN_N_000146	0
HPCLAS_TRAIN_N_000149	0
HPCLAS_TRAIN_N_000155	0
HPCLAS_TRAIN_N_000170	0
HPCLAS_TRAIN_N_000181	0
HPCLAS_TRAIN_N_000191	0
HPCLAS_TRAIN_N_000204	0
HPCLAS_TRAIN_N_000209	0
HPCLAS_TRAIN_N_000211	0
HPCLAS_TRAIN_N_000214	0
HPCLAS_TRAIN_N_000216	0
HPCLAS_TRAIN_N_000221	0
HPCLAS_TRAIN_N_000230	0
HPCLAS_TRAIN_N_000231	0
HPCLAS_TRAIN_N_000243	0
HPCLAS_TRAIN_N_000246	0
HPCLAS_TRAIN_N_000255	0
HPCLAS_TRAIN_N_000259	0
HPCLAS_TRAIN_N_000272	0
HPCLAS_TRAIN_N_000284	0
HPCLAS_TRAIN_N_000285	0
HPCLAS_TRAIN_N_000293	0
HPCLAS_TRAIN_N_000305	0
HPCLAS_TRAIN_N_000313	0
HPCLAS_TRAIN_N_000315	0
HPCLAS_TRAIN_N_000333	0
HPCLAS_TRAIN_N_000339	0
HPCLAS_TRAIN_N_000343	0
HPCLAS_TRAIN_N_000344	0
HPCLAS_TRAIN_N_000348	0
HPCLAS_TRAIN_N_000350	0
HPCLAS_TRAIN_N_000356	0
HPCLAS_TRAIN_N_000361	0
HPCLAS_TRAIN_N_000370	0
HPCLAS_TRAIN_N_000371	0
HPCLAS_TRAIN_N_000373	0
HPCLAS_TRAIN_N_000383	0
HPCLAS_TRAIN_N_000385	0
HPCLAS_TRAIN_N_000387	0
HPCLAS_TRAIN_N_000398	0
HPCLAS_TRAIN_N_000413	0
HPCLAS_TRAIN_N_000419	0
HPCLAS_TRAIN_N_000424	0
HPCLAS_TRAIN_N_000427	0
HPCLAS_TRAIN_N_000429	0
HPCLAS_TRAIN_N_000442	0
HPCLAS_TRAIN_N_000462	0
HPCLAS_TRAIN_N_000468	0
HPCLAS_TRAIN_N_000472	0
HPCLAS_TRAIN_N_000491	0
HPCLAS_TRAIN_N_000502	0
HPCLAS_TRAIN_N_000506	0
HPCLAS_TRAIN_N_000520	0
HPCLAS_TRAIN_N_000527	0
HPCLAS_TRAIN_N_000529	0
HPCLAS_TRAIN_N_000533	0
HPCLAS_TRAIN_N_000534	0
HPCLAS_TRAIN_N_000543	0
HPCLAS_TRAIN_N_000557	0
HPCLAS_TRAIN_N_000584	0
HPCLAS_TRAIN_N_000588	0
HPCLAS_TRAIN_N_000590	0
HPCLAS_TRAIN_N_000597	0
HPCLAS_TRAIN_N_000622	0
HPCLAS_TRAIN_N_000629	0
HPCLAS_TRAIN_N_000637	0
HPCLAS_TRAIN_N_000639	0
HPCLAS_TRAIN_N_000640	0
HPCLAS_TRAIN_N_000641	0
HPCLAS_TRAIN_N_000643	0
HPCLAS_TRAIN_N_000646	0
HPCLAS_TRAIN_N_000659	0
HPCLAS_TRAIN_N_000668	0
HPCLAS_TRAIN_N_000686	0
HPCLAS_TRAIN_N_000687	0
HPCLAS_TRAIN_N_000689	0
HPCLAS_TRAIN_N_000694	0
HPCLAS_TRAIN_N_000695	0
HPCLAS_TRAIN_N_000696	0
HPCLAS_TRAIN_N_000711	0
HPCLAS_TRAIN_N_000731	0
HPCLAS_TRAIN_N_000740	0
HPCLAS_TRAIN_N_000742	0
HPCLAS_TRAIN_N_000747	0
HPCLAS_TRAIN_N_000751	0
HPCLAS_TRAIN_N_000765	0
HPCLAS_TRAIN_N_000778	0
HPCLAS_TRAIN_N_000782	0
HPCLAS_TRAIN_N_000791	0
HPCLAS_TRAIN_N_000792	0
HPCLAS_TRAIN_N_000797	0
HPCLAS_TRAIN_N_000803	0
HPCLAS_TRAIN_N_000806	0
HPCLAS_TRAIN_N_000808	0
HPCLAS_TRAIN_N_000830	0
HPCLAS_TRAIN_N_000832	0
HPCLAS_TRAIN_N_000841	0
HPCLAS_TRAIN_N_000845	0
HPCLAS_TRAIN_N_000847	0
HPCLAS_TRAIN_N_000854	0
HPCLAS_TRAIN_N_000862	0
HPCLAS_TRAIN_N_000866	0
