candidate	clean_id	label	homology_group	fold	teacher_logit	student_raw_logit	probability_uncalibrated	prediction_at_0_5
K4	HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	-2.787128456038448	-2.945101737976074	0.049968528343847206	0
K4	HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	-2.256240182115824	-3.4349849224090576	0.03121980977066703	0
K4	HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	-0.9460567940931542	-1.3424184322357178	0.2071126295851299	0
K4	HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	-2.432187364290284	-3.0611555576324463	0.04473829225181801	0
K4	HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	-2.643034990027592	-3.015134572982788	0.04674680795387684	0
K4	HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	-0.352191351945937	0.9496833682060242	0.7210514963533726	1
K4	HPCLAS_TRAIN_N_000054	0	HPCLAS_TRAIN_N_000054	0	-1.6088508023787984	-2.4795033931732178	0.07730761823792115	0
K4	HPCLAS_TRAIN_N_000061	0	HPCLAS_TRAIN_N_000061	0	-2.080119590105397	-2.983377695083618	0.04818248784955131	0
K4	HPCLAS_TRAIN_N_000069	0	HPCLAS_TRAIN_N_000069	0	-0.5243154348252494	1.01141357421875	0.73329669685097	1
K4	HPCLAS_TRAIN_N_000079	0	HPCLAS_TRAIN_N_000079	0	-2.1376685370293766	-2.8594629764556885	0.05419422021894479	0
K4	HPCLAS_TRAIN_N_000086	0	HPCLAS_TRAIN_N_000086	0	-1.7833355333194725	-2.6413071155548096	0.06652681638602279	0
K4	HPCLAS_TRAIN_N_000088	0	HPCLAS_TRAIN_N_000088	0	1.1076107546810363	-0.04528267681598663	0.4886812648384162	0
K4	HPCLAS_TRAIN_N_000101	0	HPCLAS_TRAIN_N_000101	0	-2.877260472000326	-2.1895196437835693	0.10069558435105219	0
K4	HPCLAS_TRAIN_N_000102	0	HPCLAS_TRAIN_N_000102	0	-0.3959201263636841	-0.9749016761779785	0.2739045730305781	0
K4	HPCLAS_TRAIN_N_000107	0	HPCLAS_TRAIN_N_000107	0	-0.8553091796260845	-1.412477731704712	0.1958435471485462	0
K4	HPCLAS_TRAIN_N_000114	0	HPCLAS_TRAIN_N_000114	0	-1.206003403028	-1.803083896636963	0.14147607866470505	0
K4	HPCLAS_TRAIN_N_000124	0	HPCLAS_TRAIN_N_000124	0	-2.21195246428128	-2.733919143676758	0.061001287149623565	0
K4	HPCLAS_TRAIN_N_000125	0	HPCLAS_TRAIN_N_000125	0	-0.6969718589438597	-0.9880087375640869	0.2713055686362583	0
K4	HPCLAS_TRAIN_N_000128	0	HPCLAS_TRAIN_N_000128	0	-0.8177668262104771	-0.22335217893123627	0.4443929320498234	0
K4	HPCLAS_TRAIN_N_000136	0	HPCLAS_TRAIN_N_000136	0	-2.596473039930148	-2.855271577835083	0.054409461478348416	0
K4	HPCLAS_TRAIN_N_000139	0	HPCLAS_TRAIN_N_000139	0	-2.610626259464636	-2.809363842010498	0.05682026400035198	0
K4	HPCLAS_TRAIN_N_000140	0	HPCLAS_TRAIN_N_000140	0	-0.8873293530675617	-1.221436858177185	0.22768368907575331	0
K4	HPCLAS_TRAIN_N_000143	0	HPCLAS_TRAIN_P_000687	0	-1.4059288808554216	-2.0925137996673584	0.1098265723477102	0
K4	HPCLAS_TRAIN_N_000147	0	HPCLAS_TRAIN_N_000147	0	-1.7214790354070186	-2.5574047565460205	0.07193059950861636	0
K4	HPCLAS_TRAIN_N_000150	0	HPCLAS_TRAIN_N_000150	0	-2.181328960743078	-3.0094947814941406	0.04699876917879771	0
K4	HPCLAS_TRAIN_N_000164	0	HPCLAS_TRAIN_N_000164	0	-0.4865709726140184	-3.734891891479492	0.023318993591224687	0
K4	HPCLAS_TRAIN_N_000165	0	HPCLAS_TRAIN_N_000165	0	-2.2488944160057187	-2.5927813053131104	0.06960445070670364	0
K4	HPCLAS_TRAIN_N_000166	0	HPCLAS_TRAIN_N_000166	0	-3.715770722326965	-4.688127517700195	0.009119964895644175	0
K4	HPCLAS_TRAIN_N_000171	0	HPCLAS_TRAIN_N_000171	0	0.1272581031668771	0.173407182097435	0.5432434886342548	1
K4	HPCLAS_TRAIN_N_000172	0	HPCLAS_TRAIN_N_000172	0	-0.3667790314369834	-2.14758038520813	0.10455754353380085	0
K4	HPCLAS_TRAIN_N_000173	0	HPCLAS_TRAIN_N_000173	0	-0.0428782819089607	-0.33437424898147583	0.4171766831982846	0
K4	HPCLAS_TRAIN_N_000175	0	HPCLAS_TRAIN_N_000175	0	-3.032740587308271	-2.2896132469177246	0.09198684848880008	0
K4	HPCLAS_TRAIN_N_000177	0	HPCLAS_TRAIN_N_000177	0	-2.852522932256487	-3.52751088142395	0.028539517610031588	0
K4	HPCLAS_TRAIN_N_000196	0	HPCLAS_TRAIN_N_000196	0	-1.8217486045832365	-2.4353363513946533	0.08051750801668238	0
K4	HPCLAS_TRAIN_N_000199	0	HPCLAS_TRAIN_N_000199	0	-1.182047700568235	-1.6032111644744873	0.16753328871778245	0
K4	HPCLAS_TRAIN_N_000203	0	HPCLAS_TRAIN_N_000203	0	-2.6311922095755635	-2.2636878490448	0.09417530096280444	0
K4	HPCLAS_TRAIN_N_000205	0	HPCLAS_TRAIN_N_000205	0	-2.4932188823136867	-3.5565898418426514	0.027744261700939115	0
K4	HPCLAS_TRAIN_N_000208	0	HPCLAS_TRAIN_N_000208	0	-1.6627654299336854	-1.854432225227356	0.1353533423620326	0
K4	HPCLAS_TRAIN_N_000212	0	HPCLAS_TRAIN_N_000212	0	-2.059607452312471	-2.5000040531158447	0.0758578958832477	0
K4	HPCLAS_TRAIN_N_000217	0	HPCLAS_TRAIN_N_000217	0	-1.716644991226542	-2.2050278186798096	0.09929989706042698	0
K4	HPCLAS_TRAIN_N_000225	0	HPCLAS_TRAIN_N_000225	0	-3.229357327033105	-2.89691162109375	0.05230644400105001	0
K4	HPCLAS_TRAIN_N_000226	0	HPCLAS_TRAIN_N_000226	0	-3.2881228976760744	-4.279122352600098	0.01366548362904749	0
K4	HPCLAS_TRAIN_N_000232	0	HPCLAS_TRAIN_N_000232	0	-1.65142247734739	-1.9730472564697266	0.12206195791409544	0
K4	HPCLAS_TRAIN_N_000234	0	HPCLAS_TRAIN_N_000234	0	-1.510153429396338	-2.569096565246582	0.07115398995219972	0
K4	HPCLAS_TRAIN_N_000235	0	HPCLAS_TRAIN_N_000235	0	-2.364776056307188	-2.871673822402954	0.053571722766861646	0
K4	HPCLAS_TRAIN_N_000237	0	HPCLAS_TRAIN_N_000237	0	-0.870884064017908	-1.6741660833358765	0.15786952188898523	0
K4	HPCLAS_TRAIN_N_000238	0	HPCLAS_TRAIN_N_000238	0	-1.3671092007892514	-2.2411513328552246	0.09611547051337387	0
K4	HPCLAS_TRAIN_N_000247	0	HPCLAS_TRAIN_N_000247	0	-2.9175316930098893	-3.9502975940704346	0.01888544709034428	0
K4	HPCLAS_TRAIN_N_000254	0	HPCLAS_TRAIN_N_000254	0	-1.9180171626739733	-2.6868655681610107	0.06375285201063026	0
