candidate	fold	n	brier	ece	log_loss	auroc	ap
C0	0	2114	0.05278330681833968	0.058208249906571696	0.1985471660423719	0.9825590668001929	0.9871318329292121
C0	1	2114	0.05025586179676372	0.0551214149551816	0.18773149919083304	0.9847084677868032	0.9896339131902208
C0	2	2113	0.05019987867341065	0.05869253833957634	0.1900301884692974	0.9847148032001902	0.9899016045739523
C0	3	2113	0.04618216749978331	0.05680121545358366	0.17869820697153274	0.987142424799431	0.9912590220655114
C0	4	2113	0.04849090442941938	0.051565747706948134	0.18478205317900484	0.9846507915885594	0.9889914585887394
C1	0	2114	0.05016993303592487	0.014853787082037358	0.1696897011677057	0.9825590668001929	0.9871318329292121
C1	1	2114	0.04704802798658234	0.01742664503659044	0.1592039630354643	0.9847084677868032	0.9896339131902208
C1	2	2113	0.04669373296136925	0.017839045169103306	0.1577633389004835	0.9847148032001902	0.9899016045739523
C1	3	2113	0.04313312324776304	0.014637236601859227	0.14646777912676756	0.987142424799431	0.9912590220655114
C1	4	2113	0.046199743542097944	0.01747816891853089	0.15699317290453169	0.9846507915885594	0.9889914585887394
C2	0	2114	0.050273454568059955	0.018140935860019525	0.18976834933622083	0.9818622269203664	0.9850463377042918
C2	1	2114	0.04726170172463854	0.018077149573092522	0.1589313051262847	0.9846268684395979	0.9884486647217474
C2	2	2113	0.04651997345718425	0.007758676787166566	0.15551873231764535	0.9845732306212669	0.9886563129953438
C2	3	2113	0.042746894983431184	0.014635953209555757	0.14323698508224345	0.9870881166298113	0.9900329780278327
C2	4	2113	0.0460426058358354	0.009192800454711287	0.15793132412184485	0.9844429183912099	0.9873222581316756
