clean_id	label	homology_group	oof_fold	quality_tier	audit_reasons	recommended_training_weight	weight_status	manual_review_status	p_esmc_v1	p_deepsaltpro	p_aac_catboost	mean_label_support	prediction_spread
HPCLAS_TRAIN_N_000001	0	HPCLAS_TRAIN_N_000001	4	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.1015780195593833	0.3168399930000305	0.113126402752209	0.8228185282294591	0.21526197344064724
HPCLAS_TRAIN_N_000002	0	HPCLAS_TRAIN_N_000002	4	D_hard_sample	one_or_more_oof_models_wrong	1.25	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.797842264175415	0.8811133503913879	0.9414109264824336	0.12654448631692114	0.1435686623070186
HPCLAS_TRAIN_N_000003	0	HPCLAS_TRAIN_N_000003	2	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	1.24927632683125e-08	0.0292328726500272	0.0406895671712938	0.9766925158953051	0.04068955467853053
HPCLAS_TRAIN_N_000004	0	HPCLAS_TRAIN_N_000004	2	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.0009045518818311	0.0438400693237781	0.0225633930916411	0.97756399523425	0.042935517441947
HPCLAS_TRAIN_N_000005	0	HPCLAS_TRAIN_N_000005	3	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.0037160622887313	0.2762061655521393	0.0211965071981572	0.8996270883203241	0.272490103263408
HPCLAS_TRAIN_N_000006	0	HPCLAS_TRAIN_N_000006	2	D_hard_sample	esmc_borderline_0.35_0.65;deepsaltpro_borderline_0.35_0.65	1.25	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.3880134224891662	0.4495312869548797	0.2297968023632808	0.6442194960642244	0.21973448459159892
HPCLAS_TRAIN_N_000007	0	HPCLAS_TRAIN_N_000007	2	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	0.0005595591501332	0.0703451558947563	0.0231807212922634	0.9686381878876157	0.0697855967446231
HPCLAS_TRAIN_N_000009	0	HPCLAS_TRAIN_N_000009	3	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	7.792347605573013e-05	0.1725631207227707	0.3349363403135992	0.8308075384958581	0.33485841683754347
HPCLAS_TRAIN_N_000010	0	HPCLAS_TRAIN_N_000010	2	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	5.880228854948655e-05	0.040491484105587	0.0089846781648734	0.9834883451469967	0.04043268181703751
HPCLAS_TRAIN_N_000012	0	HPCLAS_TRAIN_N_000012	1	A_clean_core		1.0	PROPOSED_NOT_APPLIED	NOT_REQUIRED_AT_V2_02	8.581841029808857e-06	0.0367900170385837	0.4481948739049807	0.8383355090718019	0.4481862920639509
