epoch	train_loss	train_accuracy	learning_rate
1	0.150282105794323	0.7663551401869159	3.999022989524149e-05
2	0.10776704184708336	0.8918727079143499	3.9960929222879784e-05
3	0.07634599855762184	0.912812019401396	3.991212689914099e-05
4	0.05813326225069011	0.9292558854844434	3.984387108602667e-05
5	0.04721024529769352	0.9404944989944398	3.975622914378374e-05
6	0.03916089977431365	0.9527978232580149	3.9649287564428046e-05
7	0.03390761984471004	0.9568200638826452	3.95231518863872e-05
8	0.02925093290868141	0.9654560511061162	3.93779465903469e-05
9	0.025254449346679548	0.9717260144327458	3.921381497640348e-05
10	0.021809843694675514	0.9775227729800071	3.903091902264405e-05
11	0.01916484998804175	0.982609724358216	3.882943922529367e-05
