fold	target_ratio	clean_id
0	0.3	HPCLAS_TRAIN_P_001446
0	0.3	HPCLAS_TRAIN_N_004189
0	0.3	HPCLAS_TRAIN_N_004385
0	0.3	HPCLAS_TRAIN_P_003721
0	0.3	HPCLAS_TRAIN_N_001398
0	0.3	HPCLAS_TRAIN_N_004054
0	0.3	HPCLAS_TRAIN_N_000408
0	0.3	HPCLAS_TRAIN_N_001141
0	0.3	HPCLAS_TRAIN_N_004097
0	0.3	HPCLAS_TRAIN_N_002985
0	0.3	HPCLAS_TRAIN_N_000926
0	0.3	HPCLAS_TRAIN_P_004446
0	0.3	HPCLAS_TRAIN_N_001686
0	0.3	HPCLAS_TRAIN_N_002765
0	0.3	HPCLAS_TRAIN_P_001633
0	0.3	HPCLAS_TRAIN_P_004194
0	0.3	HPCLAS_TRAIN_N_002942
0	0.3	HPCLAS_TRAIN_N_000171
0	0.3	HPCLAS_TRAIN_N_000539
0	0.3	HPCLAS_TRAIN_P_003596
0	0.3	HPCLAS_TRAIN_N_002950
0	0.3	HPCLAS_TRAIN_N_002416
0	0.3	HPCLAS_TRAIN_N_002478
0	0.3	HPCLAS_TRAIN_N_002760
0	0.3	HPCLAS_TRAIN_P_003285
0	0.3	HPCLAS_TRAIN_P_001994
0	0.3	HPCLAS_TRAIN_N_005042
0	0.3	HPCLAS_TRAIN_N_004394
0	0.3	HPCLAS_TRAIN_N_001279
0	0.3	HPCLAS_TRAIN_N_002288
0	0.3	HPCLAS_TRAIN_N_001425
0	0.3	HPCLAS_TRAIN_N_002293
0	0.3	HPCLAS_TRAIN_P_001051
0	0.3	HPCLAS_TRAIN_N_003476
0	0.3	HPCLAS_TRAIN_N_002170
0	0.3	HPCLAS_TRAIN_N_004132
0	0.3	HPCLAS_TRAIN_N_004939
0	0.3	HPCLAS_TRAIN_N_003764
0	0.3	HPCLAS_TRAIN_N_001557
0	0.3	HPCLAS_TRAIN_N_001552
0	0.3	HPCLAS_TRAIN_P_004339
0	0.3	HPCLAS_TRAIN_N_000417
0	0.3	HPCLAS_TRAIN_N_000395
0	0.3	HPCLAS_TRAIN_N_004603
0	0.3	HPCLAS_TRAIN_P_003382
0	0.3	HPCLAS_TRAIN_N_003006
0	0.3	HPCLAS_TRAIN_N_003432
0	0.3	HPCLAS_TRAIN_N_003997
0	0.3	HPCLAS_TRAIN_N_005002
0	0.3	HPCLAS_TRAIN_P_002202
0	0.3	HPCLAS_TRAIN_N_003208
0	0.3	HPCLAS_TRAIN_P_007124
0	0.3	HPCLAS_TRAIN_N_001710
0	0.3	HPCLAS_TRAIN_P_005037
0	0.3	HPCLAS_TRAIN_N_003188
0	0.3	HPCLAS_TRAIN_N_002049
0	0.3	HPCLAS_TRAIN_P_004750
0	0.3	HPCLAS_TRAIN_P_005102
0	0.3	HPCLAS_TRAIN_P_001884
0	0.3	HPCLAS_TRAIN_N_003697
0	0.3	HPCLAS_TRAIN_N_002435
0	0.3	HPCLAS_TRAIN_N_000592
0	0.3	HPCLAS_TRAIN_N_003720
